Clôture;Date;Faible;Haute;Nombre d'enregistrements;Ouverture;Société;Volume
57,24;04/01/2010;56,11;57,32;1;56,11;BNP Paribas;2334400
12,82;04/01/2010;12,41;12,85;1;12,45;Crédit Agricole;5879600
50,24;04/01/2010;49,21;50,24;1;49,45;Société Générale;1825300
57,13;05/01/2010;56,82;58,48;1;57,24;BNP Paribas;3158200
13,02;05/01/2010;12,76;13,24;1;12,8;Crédit Agricole;6928500
49,92;05/01/2010;49,5;50,78;1;50,05;Société Générale;2649500
57,22;06/01/2010;57;57,48;1;57,2;BNP Paribas;1773800
13,25;06/01/2010;12,96;13,25;1;13,02;Crédit Agricole;5290600
49,92;06/01/2010;49,58;50,38;1;50,3;Société Générale;3437600
58,22;07/01/2010;56,89;58,43;1;57;BNP Paribas;6037300
13,26;07/01/2010;13;13,26;1;13,16;Crédit Agricole;5328500
51,31;07/01/2010;49,5;51,37;1;49,6;Société Générale;2757100
59,6;08/01/2010;58,38;59,88;1;58,45;BNP Paribas;4284500
13,47;08/01/2010;13,21;13,5;1;13,34;Crédit Agricole;7160200
52,08;08/01/2010;51,27;52,51;1;51,55;Société Générale;3663500
58,76;11/01/2010;58,76;60,38;1;60;BNP Paribas;2939100
13,39;11/01/2010;13,35;13,59;1;13,5;Crédit Agricole;4309700
52,2;11/01/2010;51,96;53,12;1;52,64;Société Générale;1902900
58,47;12/01/2010;58,16;59,19;1;59,06;BNP Paribas;2546000
12,92;12/01/2010;12,92;13,35;1;13,25;Crédit Agricole;6268600
51,67;12/01/2010;51,37;52,46;1;52,34;Société Générale;2160000
58,05;13/01/2010;57;58,18;1;57,59;BNP Paribas;3264200
12,76;13/01/2010;12,57;12,99;1;12,7;Crédit Agricole;5830700
50,19;13/01/2010;48,6;50,2;1;49;Société Générale;6562000
58,66;14/01/2010;58,1;58,97;1;58,94;BNP Paribas;2450100
12,9;14/01/2010;12,7;12,97;1;12,91;Crédit Agricole;4973200
50,4;14/01/2010;49,66;50,77;1;50,68;Société Générale;2302200
56,51;15/01/2010;56,51;59,17;1;58,91;BNP Paribas;4782600
12,91;15/01/2010;12,75;13,19;1;13,1;Crédit Agricole;9034100
49,03;15/01/2010;48,66;50,63;1;50,39;Société Générale;4518300
56,34;18/01/2010;56,01;57,18;1;56,99;BNP Paribas;2262000
12,74;18/01/2010;12,65;13,1;1;13,1;Crédit Agricole;4758700
48,51;18/01/2010;48,5;49,26;1;48,96;Société Générale;2085600
