Taux de chômage;Chômeurs;Date;Nombre d'enregistrements;Pop active;Région
6,2%;73600;01/12/1995;1;1189502;Alsace
10,5%;204100;01/12/1995;1;1951854;Aquitaine
9,5%;80800;01/12/1995;1;849374;Auvergne
10,1%;92800;01/12/1995;1;915346;Basse-Normandie
9,7%;99300;01/12/1995;1;1028546;Bourgogne
8,7%;168500;01/12/1995;1;1925748;Bretagne
9,3%;147100;01/12/1995;1;1582991;Centre
10,6%;92300;01/12/1995;1;871934;Champagne-Ardenne
8,5%;15600;01/12/1995;1;183002;Corse
7,7%;56700;01/12/1995;1;739400;Franche-Comté
11,5%;135100;01/12/1995;1;1173670;Haute-Normandie
9,1%;699400;01/12/1995;1;7708009;Île-de-France
12,2%;187900;01/12/1995;1;1545641;Languedoc-Roussillon
8,2%;37000;01/12/1995;1;452354;Limousin
8,4%;128000;01/12/1995;1;1532361;Lorraine
9,1%;157600;01/12/1995;1;1730794;Midi-Pyrénées
11,7%;306000;01/12/1995;1;2611895;Nord-Pas-de-Calais
9,9%;214100;01/12/1995;1;2157999;Pays de la Loire
10,0%;123100;01/12/1995;1;1228381;Picardie
9,9%;105800;01/12/1995;1;1068723;Poitou-Charentes
11,6%;346000;01/12/1995;1;2978574;Provence-Alpes-Côte d'Azur
9,0%;346000;01/12/1995;1;3849566;Rhône-Alpes
6,3%;75300;01/01/1996;1;1189502;Alsace
10,6%;206800;01/01/1996;1;1951854;Aquitaine
9,5%;81000;01/01/1996;1;849374;Auvergne
9,9%;90500;01/01/1996;1;915346;Basse-Normandie
9,7%;99500;01/01/1996;1;1028546;Bourgogne
8,9%;171800;01/01/1996;1;1925748;Bretagne
9,4%;148100;01/01/1996;1;1582991;Centre
10,7%;93100;01/01/1996;1;871934;Champagne-Ardenne
8,9%;16300;01/01/1996;1;183002;Corse
7,7%;57200;01/01/1996;1;739400;Franche-Comté
11,6%;136400;01/01/1996;1;1173670;Haute-Normandie
9,1%;704200;01/01/1996;1;7708009;Île-de-France
12,3%;190400;01/01/1996;1;1545641;Languedoc-Roussillon
8,3%;37400;01/01/1996;1;452354;Limousin
8,5%;130400;01/01/1996;1;1532361;Lorraine
9,3%;160300;01/01/1996;1;1730794;Midi-Pyrénées
11,8%;307900;01/01/1996;1;2611895;Nord-Pas-de-Calais
10,0%;215800;01/01/1996;1;2157999;Pays de la Loire
10,2%;125100;01/01/1996;1;1228381;Picardie
10,0%;106800;01/01/1996;1;1068723;Poitou-Charentes
11,8%;350600;01/01/1996;1;2978574;Provence-Alpes-Côte d'Azur
9,0%;347600;01/01/1996;1;3849566;Rhône-Alpes
6,3%;75400;01/02/1996;1;1189502;Alsace
10,5%;204300;01/02/1996;1;1951854;Aquitaine
9,5%;80400;01/02/1996;1;849374;Auvergne
9,9%;90200;01/02/1996;1;915346;Basse-Normandie
9,6%;99100;01/02/1996;1;1028546;Bourgogne
8,8%;168900;01/02/1996;1;1925748;Bretagne
9,3%;147400;01/02/1996;1;1582991;Centre
10,6%;92600;01/02/1996;1;871934;Champagne-Ardenne
9,0%;16500;01/02/1996;1;183002;Corse
7,7%;57200;01/02/1996;1;739400;Franche-Comté
11,6%;135900;01/02/1996;1;1173670;Haute-Normandie
9,1%;702300;01/02/1996;1;7708009;Île-de-France
12,2%;188200;01/02/1996;1;1545641;Languedoc-Roussillon
8,2%;37200;01/02/1996;1;452354;Limousin
8,5%;130000;01/02/1996;1;1532361;Lorraine
9,1%;158100;01/02/1996;1;1730794;Midi-Pyrénées
11,8%;307500;01/02/1996;1;2611895;Nord-Pas-de-Calais
9,8%;211200;01/02/1996;1;2157999;Pays de la Loire
10,2%;124900;01/02/1996;1;1228381;Picardie
9,9%;106300;01/02/1996;1;1068723;Poitou-Charentes
11,8%;350200;01/02/1996;1;2978574;Provence-Alpes-Côte d'Azur
9,0%;344800;01/02/1996;1;3849566;Rhône-Alpes
6,2%;73200;01/03/1996;1;1189502;Alsace
10,3%;201500;01/03/1996;1;1951854;Aquitaine
9,3%;79100;01/03/1996;1;849374;Auvergne
9,7%;88500;01/03/1996;1;915346;Basse-Normandie
