Autre essieu (mm);Marque et Type;Cylindrée (cm3);Empattement (mm);Essieu directeur (mm);Marque;Masse (kg);Nouvelles immatriculations;Nombre d'enregistrements;Puissance du moteur (KW);Type de carburant;Type;Émissions Compartiment;Émissions de CO2 (g/km)
1 358;Fiat 169;1 368;2 305;1 366;Fiat;1 125;72;1;51;Bio;169;105;107
1 460;Fiat 199;1 368;2 510;1 467;Fiat;1 245;3;1;51;Bio;199;115;115
1 460;Fiat 199;1 368;2 510;1 467;Fiat;1 245;9;1;51;Bio;199;115;115
1 460;Fiat 199;1 368;2 510;1 467;Fiat;1 260;1;1;51;Bio;199;115;115
1 460;Fiat 199;1 368;2 510;1 467;Fiat;1 260;1;1;51;Bio;199;115;115
1 460;Fiat 199;1 368;2 510;1 467;Fiat;1 260;2;1;51;Bio;199;115;115
1 460;Fiat 199;1 368;2 510;1 467;Fiat;1 260;2;1;51;Bio;199;115;115
1 460;Fiat 199;1 368;2 510;1 467;Fiat;1 260;8;1;51;Bio;199;115;115
1 460;Fiat 199;1 368;2 510;1 467;Fiat;1 260;16;1;51;Bio;199;115;115
1 464;Fiat 225;1 368;2 513;1 462;Fiat;1 365;1;1;51;Bio;225;110;114
1 464;Fiat 225;1 368;2 513;1 462;Fiat;1 365;1;1;51;Bio;225;110;114
1 464;Fiat 225;1 368;2 513;1 462;Fiat;1 365;1;1;51;Bio;225;110;114
1 464;Fiat 225;1 368;2 513;1 462;Fiat;1 365;3;1;57;Bio;225;110;114
1 464;Fiat 225;1 368;2 513;1 467;Fiat;1 345;2;1;51;Bio;225;110;114
1 464;Fiat 225;1 368;2 513;1 467;Fiat;1 345;3;1;51;Bio;225;110;114
1 530;Fiat 263;1 368;2 755;1 510;Fiat;1 615;1;1;88;Bio;263;130;134
1 530;Fiat 263;1 368;2 755;1 510;Fiat;1 615;1;1;88;Bio;263;130;134
1 530;Fiat 263;1 368;2 755;1 510;Fiat;1 615;2;1;88;Bio;263;130;134
1 530;Fiat 263;1 368;2 755;1 510;Fiat;1 615;10;1;88;Bio;263;130;134
1 512;Opel A-H/MONOCAB;1 598;2 703;1 488;Opel;1 735;1;1;110;Bio;A-H/MONOCAB;135;139
1 501;Volkswagen 1T;1 390;2 677;1 533;Volkswagen;1 697;1;1;110;Bio;1T;;
1 555;Volkswagen 3C;1 390;2 711;1 553;Volkswagen;1 626;1;1;110;Bio;3C;160;161
1 534;Volkswagen 2K;1 984;2 681;1 537;Volkswagen;1 568;1;1;80;Bio;2K;;
1 534;Volkswagen 2K;1 984;2 681;1 537;Volkswagen;1 568;4;1;80;Bio;2K;;
1 534;Volkswagen 2K;1 984;2 681;1 537;Volkswagen;1 608;1;1;80;Bio;2K;;
1 534;Volkswagen 2K;1 984;2 681;1 537;Volkswagen;1 628;1;1;80;Bio;2K;;
1 544;Volkswagen 2K;1 984;3 006;1 537;Volkswagen;1 736;1;1;80;Bio;2K;;
1 544;Volkswagen 2K;1 984;3 006;1 537;Volkswagen;1 736;1;1;80;Bio;2K;;
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;2;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;2;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;2;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;2;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;3;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;4;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;4;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;5;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;5;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;20;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;148;1;62;Diesel;955;90;90
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;62;Diesel;955;95;95
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;62;Diesel;955;95;95
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;70;Diesel;955;100;104
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;70;Diesel;955;100;104
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;70;Diesel;955;100;104
1 475;Alfa Romeo 955;1 248;2 511;1 477;Alfa Romeo;1 225;1;1;70;Diesel;955;100;104
