Année;Vitesse du vainqueur (km/h) ;Coureurs au départ;Coureurs ayant abandonné;Coureurs ayant fini la course;Longueur du parcours (km);Nom du vainqueur;Page Wikipédia;Pays du vainqueur  (group);Pays du vainqueur;Temps du vainqueur (h);Temps du vainqueur;Âge du vainqueur;Étapes
1997;38,889826321;198;59;139;3950;J. Ullrich;http://en.wikipedia.org/wiki/1997_Tour_de_France;Autre;Allemagne;101,568980211;100h 30m 35s;24;21
2011;41,506430167;198;31;167;3630;C. Evans;http://en.wikipedia.org/wiki/2011_Tour_de_France;Autre;Australie;87,456328704;86h 12m 22s;34;21
1969;34,886491730;130;44;86;4117;E. Merckx;http://en.wikipedia.org/wiki/1969_Tour_de_France;Autre;Belgique;118,011293077;116h 16m 2s;24;22
1970;35,260693776;150;50;100;4254;E. Merckx;http://en.wikipedia.org/wiki/1970_Tour_de_France;Autre;Belgique;120,644251274;119h 31m 49s;25;23
1971;36,877132484;130;36;94;3608;E. Merckx;http://en.wikipedia.org/wiki/1971_Tour_de_France;Autre;Belgique;97,838409795;96h 45m 14s;26;20
1972;34,941002739;132;44;88;3846;E. Merckx;http://en.wikipedia.org/wiki/1972_Tour_de_France;Autre;Belgique;110,071254357;108h 17m 18s;27;20
1974;34,743824204;130;25;105;4098;E. Merckx;http://en.wikipedia.org/wiki/1974_Tour_de_France;Autre;Belgique;117,949019541;116h 16m 58s;29;22
1919;23,673006335;69;58;11;5560;F. Lambot;http://en.wikipedia.org/wiki/1919_Tour_de_France;Autre;Belgique;234,866662958;231h 7m 15s;33;15
1922;23,807876770;121;83;38;5375;F. Lambot;http://en.wikipedia.org/wiki/1922_Tour_de_France;Autre;Belgique;225,765617489;222h 8m 6s;36;15
1926;23,802485229;126;85;41;5745;L. Buysse;http://en.wikipedia.org/wiki/1926_Tour_de_France;Autre;Belgique;241,361351332;238h 44m 25s;34;17
1921;24,402724682;123;85;38;5485;L. Scieur;http://en.wikipedia.org/wiki/1921_Tour_de_France;Autre;Belgique;224,769982514;221h 50m 26s;33;15
1976;34,055741233;130;43;87;4017;L. Van Impe;http://en.wikipedia.org/wiki/1976_Tour_de_France;Autre;Belgique;117,953679897;116h 22m 23s;30;22
1929;27,979937938;155;95;60;5286;M. Dewaele;http://en.wikipedia.org/wiki/1929_Tour_de_France;Autre;Belgique;188,921076658;186h 39m 16s;33;22
1912;27,354855637;131;90;41;5289;O. Defraye;http://en.wikipedia.org/wiki/1912_Tour_de_France;Autre;Belgique;193,347757716;190h 30m 28s;24;15
1913;26,382393995;140;115;25;5287;P. Thys;http://en.wikipedia.org/wiki/1913_Tour_de_France;Autre;Belgique;200,398796295;197h 54m 0s;23;15
1914;26,381889021;145;91;54;5380;P. Thys;http://en.wikipedia.org/wiki/1914_Tour_de_France;Autre;Belgique;203,927777716;200h 28m 48s;24;15
1920;23,745438117;113;91;22;5503;P. Thys;http://en.wikipedia.org/wiki/1920_Tour_de_France;Autre;Belgique;231,749777486;228h 36m 13s;30;15
1935;30,249812803;93;47;46;4338;R. Maes;http://en.wikipedia.org/wiki/1935_Tour_de_France;Autre;Belgique;143,40584612;141h 23m 0s;22;21
1936;30,772264578;90;47;43;4442;S. Maes;http://en.wikipedia.org/wiki/1936_Tour_de_France;Autre;Belgique;144,35076719;142h 47m 32s;27;21
1939;31,402159504;79;30;49;4224;S. Maes;http://en.wikipedia.org/wiki/1939_Tour_de_France;Autre;Belgique;134,513041994;132h 3m 17s;30;18
1996;38,935952990;198;69;129;3765;B. Riis;http://en.wikipedia.org/wiki/1996_Tour_de_France;Autre;Danemark;96,697260781;95h 57m 16s;32;21
2007;38,602313020;189;48;141;3570;A. Contador;http://en.wikipedia.org/wiki/2007_Tour_de_France;Autre;Espagne;92,481504881;91h 0m 26s;24;21
2009;39,964920281;180;24;156;3459;A. Contador;http://en.wikipedia.org/wiki/2009_Tour_de_France;Autre;Espagne;86,550904536;85h 48m 35s;26;21
2008;40,234256517;180;35;145;3559;C. Sastre;http://en.wikipedia.org/wiki/2008_Tour_de_France;Autre;Espagne;88,45695952;87h 52m 52s;33;21
1959;34,888061803;120;55;65;4358;F. Bahamontes;http://en.wikipedia.org/wiki/1959_Tour_de_France;Autre;Espagne;124,913789267;123h 46m 45s;31;22
1973;32,990452713;132;45;87;4090;L.Ocana;http://en.wikipedia.org/wiki/1973_Tour_de_France;Autre;Espagne;123,975261437;122h 25m 34s;28;20
1991;38,111286874;198;40;158;3914;M. Indurain;http://en.wikipedia.org/wiki/1991_Tour_de_France;Autre;Espagne;102,69923482;101h 1m 20s;27;22
1992;39,194748820;198;68;130;3983;M. Indurain;http://en.wikipedia.org/wiki/1992_Tour_de_France;Autre;Espagne;101,62075584;100h 49m 30s;28;21
1993;38,389441825;180;44;136;3714;M. Indurain;http://en.wikipedia.org/wiki/1993_Tour_de_France;Autre;Espagne;96,745350373;95h 57m 9s;29;20
1994;38,041131369;189;72;117;3978;M. Indurain;http://en.wikipedia.org/wiki/1994_Tour_de_France;Autre;Espagne;104,571022387;103h 38m 38s;30;21
1995;38,823852005;189;74;115;3635;M. Indurain;http://en.wikipedia.org/wiki/1995_Tour_de_France;Autre;Espagne;93,628009902;92h 44m 59s;31;20
