Au-dessus de la médiane?;Date;IC faible;Médiane;Nombre d'enregistrements;IC élevé;Année
en dessous de la médiane;1850/01/01;-0,627;-0,702;1;-0,757;1850/01
en dessous de la médiane;1850/02/01;-0,216;-0,284;1;-0,336;1850/02
en dessous de la médiane;1850/03/01;-0,682;-0,732;1;-0,797;1850/03
en dessous de la médiane;1850/04/01;-0,504;-0,57;1;-0,628;1850/04
en dessous de la médiane;1850/05/01;-0,276;-0,325;1;-0,381;1850/05
en dessous de la médiane;1850/06/01;-0,157;-0,213;1;-0,271;1850/06
en dessous de la médiane;1850/07/01;-0,075;-0,128;1;-0,188;1850/07
en dessous de la médiane;1850/08/01;-0,183;-0,233;1;-0,283;1850/08
en dessous de la médiane;1850/09/01;-0,393;-0,444;1;-0,497;1850/09
en dessous de la médiane;1850/10/01;-0,391;-0,452;1;-0,507;1850/10
en dessous de la médiane;1850/11/01;-0,135;-0,19;1;-0,245;1850/11
en dessous de la médiane;1850/12/01;-0,206;-0,268;1;-0,328;1850/12
en dessous de la médiane;1851/01/01;-0,225;-0,303;1;-0,359;1851/01
en dessous de la médiane;1851/02/01;-0,281;-0,362;1;-0,415;1851/02
en dessous de la médiane;1851/03/01;-0,429;-0,485;1;-0,549;1851/03
en dessous de la médiane;1851/04/01;-0,376;-0,445;1;-0,506;1851/04
en dessous de la médiane;1851/05/01;-0,255;-0,302;1;-0,361;1851/05
en dessous de la médiane;1851/06/01;-0,131;-0,189;1;-0,254;1851/06
en dessous de la médiane;1851/07/01;-0,156;-0,215;1;-0,274;1851/07
en dessous de la médiane;1851/08/01;-0,103;-0,153;1;-0,201;1851/08
en dessous de la médiane;1851/09/01;-0,054;-0,108;1;-0,164;1851/09
en dessous de la médiane;1851/10/01;0;-0,063;1;-0,115;1851/10
en dessous de la médiane;1851/11/01;0,019;-0,03;1;-0,087;1851/11
en dessous de la médiane;1851/12/01;-0,007;-0,067;1;-0,129;1851/12
en dessous de la médiane;1852/01/01;-0,229;-0,308;1;-0,364;1852/01
