Année;Conduite (système);Latitude;Ligne;Ligne_ groupe;Longitude;Longueur(km);Nombre d'enregistrements;Ordre des points;Station;Terminus;Trafic;Ville
2011;Automatique (SAET);48,880901799;1;1;2,272539085;16,6;1;4;Les Sablons (Jardin d'acclimatation);La Défense - Château de Vincennes;5430088;NEUILLY-SUR-SEINE
2012;Automatique (SAET);48,880901799;1;1;2,272539085;16,6;1;4;Les Sablons (Jardin d'acclimatation);La Défense - Château de Vincennes;5414666;NEUILLY-SUR-SEINE
2013;Automatique (SAET);48,880901799;1;1;2,272539085;16,6;1;4;Les Sablons (Jardin d'acclimatation);La Défense - Château de Vincennes;5439982;NEUILLY-SUR-SEINE
2011;Automatique (SAET);48,88450938;1;1;2,259891725;16,6;1;3;Pont de Neuilly;La Défense - Château de Vincennes;6794402;NEUILLY-SUR-SEINE
2012;Automatique (SAET);48,88450938;1;1;2,259891725;16,6;1;3;Pont de Neuilly;La Défense - Château de Vincennes;6752497;NEUILLY-SUR-SEINE
2013;Automatique (SAET);48,88450938;1;1;2,259891725;16,6;1;3;Pont de Neuilly;La Défense - Château de Vincennes;6902931;NEUILLY-SUR-SEINE
2011;Automatique (SAET);48,858519522;1;1;2,347119401;16,6;1;15;Châtelet;La Défense - Château de Vincennes;14440964;PARIS-01ER
2012;Automatique (SAET);48,858519522;1;1;2,347119401;16,6;1;15;Châtelet;La Défense - Château de Vincennes;14118575;PARIS-01ER
2013;Automatique (SAET);48,858519522;1;1;2,347119401;16,6;1;15;Châtelet;La Défense - Château de Vincennes;13929657;PARIS-01ER
2011;Automatique (SAET);48,860538295;1;1;2,34100049;16,6;1;14;Louvre-Rivoli;La Défense - Château de Vincennes;2582023;PARIS-01ER
2012;Automatique (SAET);48,860538295;1;1;2,34100049;16,6;1;14;Louvre-Rivoli;La Défense - Château de Vincennes;2645473;PARIS-01ER
2013;Automatique (SAET);48,860538295;1;1;2,34100049;16,6;1;14;Louvre-Rivoli;La Défense - Château de Vincennes;2650897;PARIS-01ER
2011;Automatique (SAET);48,862846822;1;1;2,335816612;16,6;1;13;Palais-Royal (Musée du Louvre);La Défense - Château de Vincennes;9559535;PARIS-01ER
2012;Automatique (SAET);48,862846822;1;1;2,335816612;16,6;1;13;Palais-Royal (Musée du Louvre);La Défense - Château de Vincennes;9496063;PARIS-01ER
2013;Automatique (SAET);48,862846822;1;1;2,335816612;16,6;1;13;Palais-Royal (Musée du Louvre);La Défense - Château de Vincennes;9385220;PARIS-01ER
2011;Automatique (SAET);48,864497097;1;1;2,33031418;16,6;1;12;Tuileries;La Défense - Château de Vincennes;2473945;PARIS-01ER
2012;Automatique (SAET);48,864497097;1;1;2,33031418;16,6;1;12;Tuileries;La Défense - Château de Vincennes;2559518;PARIS-01ER
2013;Automatique (SAET);48,864497097;1;1;2,33031418;16,6;1;12;Tuileries;La Défense - Château de Vincennes;2616916;PARIS-01ER
2011;Automatique (SAET);48,852841731;1;1;2,369180605;16,6;1;18;Bastille;La Défense - Château de Vincennes;12517181;PARIS-04EME
2012;Automatique (SAET);48,852841731;1;1;2,369180605;16,6;1;18;Bastille;La Défense - Château de Vincennes;13187049;PARIS-04EME
2013;Automatique (SAET);48,852841731;1;1;2,369180605;16,6;1;18;Bastille;La Défense - Château de Vincennes;13706765;PARIS-04EME
2011;Automatique (SAET);48,856769527;1;1;2,35149454;16,6;1;16;Hôtel de Ville;La Défense - Château de Vincennes;12760823;PARIS-04EME
2012;Automatique (SAET);48,856769527;1;1;2,35149454;16,6;1;16;Hôtel de Ville;La Défense - Château de Vincennes;12778262;PARIS-04EME
2013;Automatique (SAET);48,856769527;1;1;2,35149454;16,6;1;16;Hôtel de Ville;La Défense - Château de Vincennes;11953352;PARIS-04EME
2011;Automatique (SAET);48,855143601;1;1;2,360653354;16,6;1;17;Saint-Paul (Le Marais);La Défense - Château de Vincennes;6265848;PARIS-04EME
2012;Automatique (SAET);48,855143601;1;1;2,360653354;16,6;1;17;Saint-Paul (Le Marais);La Défense - Château de Vincennes;6443074;PARIS-04EME
2013;Automatique (SAET);48,855143601;1;1;2,360653354;16,6;1;17;Saint-Paul (Le Marais);La Défense - Château de Vincennes;6515486;PARIS-04EME
2011;Automatique (SAET);48,867411421;1;1;2,31395945;16,6;1;10;Champs-Elysées-Clémenceau;La Défense - Château de Vincennes;4502691;PARIS-08EME
2012;Automatique (SAET);48,867411421;1;1;2,31395945;16,6;1;10;Champs-Elysées-Clémenceau;La Défense - Château de Vincennes;4588565;PARIS-08EME
2013;Automatique (SAET);48,867411421;1;1;2,31395945;16,6;1;10;Champs-Elysées-Clémenceau;La Défense - Château de Vincennes;4617843;PARIS-08EME
2011;Automatique (SAET);48,874407604;1;1;2,295762684;16,6;1;7;Charles de Gaulle-Etoile;La Défense - Château de Vincennes;8980015;PARIS-08EME
2012;Automatique (SAET);48,874407604;1;1;2,295762684;16,6;1;7;Charles de Gaulle-Etoile;La Défense - Château de Vincennes;9037623;PARIS-08EME
2013;Automatique (SAET);48,874407604;1;1;2,295762684;16,6;1;7;Charles de Gaulle-Etoile;La Défense - Château de Vincennes;9067635;PARIS-08EME
2011;Automatique (SAET);48,866182996;1;1;2,323299878;16,6;1;11;Concorde;La Défense - Château de Vincennes;6866631;PARIS-08EME
2012;Automatique (SAET);48,866182996;1;1;2,323299878;16,6;1;11;Concorde;La Défense - Château de Vincennes;7052932;PARIS-08EME
2013;Automatique (SAET);48,866182996;1;1;2,323299878;16,6;1;11;Concorde;La Défense - Château de Vincennes;7176639;PARIS-08EME
2011;Automatique (SAET);48,869305229;1;1;2,308308765;16,6;1;9;Franklin-Roosevelt;La Défense - Château de Vincennes;12640577;PARIS-08EME
2012;Automatique (SAET);48,869305229;1;1;2,308308765;16,6;1;9;Franklin-Roosevelt;La Défense - Château de Vincennes;12582337;PARIS-08EME
2013;Automatique (SAET);48,869305229;1;1;2,308308765;16,6;1;9;Franklin-Roosevelt;La Défense - Château de Vincennes;11890240;PARIS-08EME
2011;Automatique (SAET);48,871982573;1;1;2,300462683;16,6;1;8;George V;La Défense - Château de Vincennes;6192199;PARIS-08EME
2012;Automatique (SAET);48,871982573;1;1;2,300462683;16,6;1;8;George V;La Défense - Château de Vincennes;6174372;PARIS-08EME
2013;Automatique (SAET);48,871982573;1;1;2,300462683;16,6;1;8;George V;La Défense - Château de Vincennes;6302761;PARIS-08EME
2011;Automatique (SAET);48,844704545;1;1;2,374065908;16,6;1;19;Gare de Lyon;La Défense - Château de Vincennes;34523049;PARIS-12EME
2012;Automatique (SAET);48,844704545;1;1;2,374065908;16,6;1;19;Gare de Lyon;La Défense - Château de Vincennes;34971365;PARIS-12EME
2013;Automatique (SAET);48,844704545;1;1;2,374065908;16,6;1;19;Gare de Lyon;La Défense - Château de Vincennes;34895701;PARIS-12EME
2011;Automatique (SAET);48,848465751;1;1;2,395905744;16,6;1;21;Nation;La Défense - Château de Vincennes;9481963;PARIS-12EME
2012;Automatique (SAET);48,848465751;1;1;2,395905744;16,6;1;21;Nation;La Défense - Château de Vincennes;9789555;PARIS-12EME
2013;Automatique (SAET);48,848465751;1;1;2,395905744;16,6;1;21;Nation;La Défense - Château de Vincennes;9541406;PARIS-12EME
2011;Automatique (SAET);48,847238133;1;1;2,386118187;16,6;1;20;Reuilly-Diderot;La Défense - Château de Vincennes;5451933;PARIS-12EME
2012;Automatique (SAET);48,847238133;1;1;2,386118187;16,6;1;20;Reuilly-Diderot;La Défense - Château de Vincennes;5582705;PARIS-12EME
