Date,Taux de chômage,Chômeurs,Nombre d'enregistrements,Pop active,Région
01/12/1995,6.2,73600,1,1189502,Alsace
01/12/1995,10.5,204100,1,1951854,Aquitaine
01/12/1995,9.5,80800,1,849374,Auvergne
01/12/1995,10.1,92800,1,915346,Basse-Normandie
01/12/1995,9.7,99300,1,1028546,Bourgogne
01/12/1995,8.7,168500,1,1925748,Bretagne
01/12/1995,9.3,147100,1,1582991,Centre
01/12/1995,10.6,92300,1,871934,Champagne-Ardenne
01/12/1995,8.5,15600,1,183002,Corse
01/12/1995,7.7,56700,1,739400,Franche-Comté
01/12/1995,11.5,135100,1,1173670,Haute-Normandie
01/12/1995,9.1,699400,1,7708009,Île-de-France
01/12/1995,12.2,187900,1,1545641,Languedoc-Roussillon
01/12/1995,8.2,37000,1,452354,Limousin
01/12/1995,8.4,128000,1,1532361,Lorraine
01/12/1995,9.1,157600,1,1730794,Midi-Pyrénées
01/12/1995,11.7,306000,1,2611895,Nord-Pas-de-Calais
01/12/1995,9.9,214100,1,2157999,Pays de la Loire
01/12/1995,10.0,123100,1,1228381,Picardie
01/12/1995,9.9,105800,1,1068723,Poitou-Charentes
01/12/1995,11.6,346000,1,2978574,Provence-Alpes-Côte d'Azur
01/12/1995,9.0,346000,1,3849566,Rhône-Alpes
01/01/1996,6.3,75300,1,1189502,Alsace
01/01/1996,10.6,206800,1,1951854,Aquitaine
01/01/1996,9.5,81000,1,849374,Auvergne
01/01/1996,9.9,90500,1,915346,Basse-Normandie
01/01/1996,9.7,99500,1,1028546,Bourgogne
01/01/1996,8.9,171800,1,1925748,Bretagne
01/01/1996,9.4,148100,1,1582991,Centre
01/01/1996,10.7,93100,1,871934,Champagne-Ardenne
01/01/1996,8.9,16300,1,183002,Corse
01/01/1996,7.7,57200,1,739400,Franche-Comté
01/01/1996,11.6,136400,1,1173670,Haute-Normandie
01/01/1996,9.1,704200,1,7708009,Île-de-France
01/01/1996,12.3,190400,1,1545641,Languedoc-Roussillon
01/01/1996,8.3,37400,1,452354,Limousin
01/01/1996,8.5,130400,1,1532361,Lorraine
01/01/1996,9.3,160300,1,1730794,Midi-Pyrénées
01/01/1996,11.8,307900,1,2611895,Nord-Pas-de-Calais
